Type,Name in repo(or git URL),Purpose
,xorg-server,
,xorg-xinit,
,libxft,
,xcompmgr,
,xwallpaper,
,xcape,
,xorg-xset,
,xclip,
,xdotool,
,polkit,
A,zsh-fast-syntax-highlighting-git,
,ttf-joypixels,
,ttf-jetbrains-mono,
,noto-fonts,
,pipewire,
,pipewire-pulse,
,pulsemixer,
,pamixer,
,playerctl,
,unclutter,
,dunst,
,libnotify,
,maim,
,p7zip,
A,brave-bin,
,networkmanager,
A,dashbinsh,
,dash,
,stow,
,neovim,
A,xidlehook,can start programs at inactivity of the X Window Display.
A,sct,sets the screen color temperature.
G,https://github.com/consoom/dwm,
G,https://github.com/consoom/dmenu,
G,https://github.com/consoom/dwmblocks,
G,https://github.com/consoom/st,
